-DOCSTART-	_	_	O
0.10	0.10	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O
A	a	DET	O
minimum	minimum	NOUN	B-CONST_DIR
of	of	ADP	O
$	$	SYM	O
10000	10000	NUM	B-LIMIT
must	must	AUX	O
be	be	AUX	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
railway	railway	NOUN	B-VAR
industry	industry	NOUN	I-VAR
and	and	CCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
25	25	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
all	all	DET	O
money	money	NOUN	O
invested	invest	VERB	O
must	must	AUX	O
be	be	VERB	O
in	in	ADP	O
the	the	DET	O
airline	airline	NOUN	B-VAR
industry	industry	NOUN	I-VAR
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	lp	NOUN	O
that	that	DET	O
can	can	AUX	O
be	be	AUX	O
used	use	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
professor	professor	NOUN	O
's	's	PART	O
profit	profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O

You	you	PRON	O
are	be	AUX	O
playing	play	VERB	O
a	a	DET	O
game	game	NOUN	O
where	where	ADV	O
a	a	DET	O
short	short	ADJ	B-VAR
shot	shot	NOUN	I-VAR
is	be	VERB	O
worth	worth	ADJ	O
2	2	NUM	B-PARAM
points	point	NOUN	B-OBJ_NAME
and	and	CCONJ	O
a	a	DET	O
long	long	ADJ	B-VAR
shot	shot	NOUN	I-VAR
is	be	VERB	O
worth	worth	ADJ	O
5	5	NUM	B-PARAM
points	point	NOUN	B-OBJ_NAME
.	.	PUNCT	O
In	in	ADP	O
total	total	NOUN	O
,	,	PUNCT	O
you	you	PRON	O
can	can	AUX	O
take	take	VERB	O
at	at	ADV	B-CONST_DIR
most	most	ADV	I-CONST_DIR
14	14	NUM	B-LIMIT
shots	shot	NOUN	O
.	.	PUNCT	O
You	you	PRON	O
must	must	AUX	O
take	take	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
5	5	NUM	B-LIMIT
short	short	ADJ	B-VAR
shots	shot	NOUN	I-VAR
and	and	CCONJ	O
2	2	NUM	B-LIMIT
long	long	ADJ	B-VAR
shots	shot	NOUN	I-VAR
,	,	PUNCT	O
but	but	CCONJ	O
time	time	NOUN	O
restricts	restrict	VERB	O
taking	take	VERB	O
more	more	ADJ	B-CONST_DIR
than	than	SCONJ	I-CONST_DIR
8	8	NUM	B-LIMIT
of	of	ADP	O
either	either	DET	O
type	type	NOUN	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
shot	shot	NOUN	O
must	must	AUX	O
you	you	PRON	O
take	take	VERB	O
,	,	PUNCT	O
assuming	assume	VERB	O
all	all	DET	O
your	your	PRON	O
shots	shot	NOUN	O
get	get	VERB	O
points	point	NOUN	O
,	,	PUNCT	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
your	your	PRON	O
score	score	NOUN	B-OBJ_NAME
?	?	PUNCT	O
What	what	PRON	O
is	be	AUX	O
your	your	PRON	O
maximum	maximum	ADJ	O
score	score	NOUN	O
?	?	PUNCT	O

A	a	DET	O
hot	hot	ADJ	O
dog	dog	NOUN	O
store	store	NOUN	O
sells	sell	VERB	O
two	two	NUM	O
products	product	NOUN	O
:	:	PUNCT	O
its	its	PRON	O
regular	regular	ADJ	B-VAR
hot	hot	ADJ	I-VAR
-	-	PUNCT	I-VAR
dog	dog	NOUN	I-VAR
,	,	PUNCT	O
and	and	CCONJ	O
a	a	DET	O
premium	premium	ADJ	B-VAR
hot	hot	ADJ	I-VAR
-	-	PUNCT	I-VAR
dog	dog	NOUN	I-VAR
with	with	ADP	O
more	more	ADJ	O
toppings	topping	NOUN	O
.	.	PUNCT	O
The	the	DET	O
store	store	NOUN	O
makes	make	VERB	O
x1	x1	NUM	O
regular	regular	ADJ	B-VAR
hot	hot	ADJ	I-VAR
-	-	PUNCT	I-VAR
dogs	dog	NOUN	I-VAR
a	a	DET	O
day	day	NOUN	O
at	at	ADP	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
3	3	NUM	B-PARAM
each	each	DET	O
and	and	CCONJ	O
x2	x2	NUM	O
premium	premium	ADJ	B-VAR
hot	hot	ADJ	I-VAR
-	-	PUNCT	I-VAR
dogs	dog	NOUN	I-VAR
a	a	DET	O
day	day	NOUN	O
at	at	ADP	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
5	5	NUM	B-PARAM
each	each	DET	O
.	.	PUNCT	O
(	(	PUNCT	O
x1	x1	NUM	O
and	and	CCONJ	O
x2	x2	NUM	O
are	be	AUX	O
unknowns	unknown	NOUN	O
and	and	CCONJ	O
they	they	PRON	O
both	both	DET	O
must	must	AUX	O
be	be	VERB	O
greater	great	ADJ	O
than	than	SCONJ	O
or	or	CCONJ	O
equal	equal	ADJ	O
to	to	ADP	O
0	0	NUM	O
)	)	PUNCT	O
.	.	PUNCT	O
Currently	currently	ADV	O
,	,	PUNCT	O
the	the	DET	O
demand	demand	NOUN	O
is	be	AUX	O
limited	limit	VERB	O
to	to	ADP	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
100	100	NUM	B-LIMIT
regular	regular	ADJ	B-VAR
hot	hot	ADJ	I-VAR
-	-	PUNCT	I-VAR
dogs	dog	NOUN	I-VAR
per	per	ADP	O
day	day	NOUN	O
and	and	CCONJ	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
250	250	NUM	B-LIMIT
premium	premium	NOUN	B-VAR
hot	hot	ADJ	I-VAR
-	-	PUNCT	I-VAR
dogs	dog	NOUN	I-VAR
per	per	ADP	O
day	day	NOUN	O
.	.	PUNCT	O
Also	also	ADV	O
,	,	PUNCT	O
the	the	DET	O
store	store	NOUN	O
can	can	AUX	O
make	make	VERB	O
a	a	DET	O
maximum	maximum	NOUN	B-CONST_DIR
of	of	ADP	O
300	300	NUM	B-LIMIT
hot	hot	ADJ	O
-	-	PUNCT	O
dogs	dog	NOUN	O
of	of	ADP	O
either	either	DET	O
type	type	NOUN	O
per	per	ADP	O
day	day	NOUN	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
hot	hot	ADJ	O
-	-	PUNCT	O
dog	dog	NOUN	O
should	should	AUX	O
be	be	AUX	O
made	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
hedge	hedge	NOUN	O
fund	fund	NOUN	O
is	be	AUX	O
attempting	attempt	VERB	O
to	to	PART	O
determine	determine	VERB	O
where	where	ADV	O
its	its	PRON	O
assets	asset	NOUN	O
should	should	AUX	O
be	be	AUX	O
invested	invest	VERB	O
during	during	ADP	O
the	the	DET	O
current	current	ADJ	O
year	year	NOUN	O
.	.	PUNCT	O
At	at	ADP	O
present	present	NOUN	O
,	,	PUNCT	O
$	$	SYM	O
3,200,000	3,200,000	NUM	B-LIMIT
is	be	AUX	O
available	available	ADJ	B-CONST_DIR
for	for	ADP	O
investment	investment	NOUN	O
in	in	ADP	O
stocks	stock	NOUN	B-VAR
,	,	PUNCT	O
options	option	NOUN	B-VAR
,	,	PUNCT	O
security	security	NOUN	B-VAR
swaps	swap	NOUN	I-VAR
,	,	PUNCT	O
and	and	CCONJ	O
futures	future	NOUN	B-VAR
.	.	PUNCT	O
The	the	DET	O
annual	annual	ADJ	O
rate	rate	NOUN	O
of	of	ADP	O
return	return	NOUN	B-OBJ_NAME
on	on	ADP	O
each	each	DET	O
type	type	NOUN	O
of	of	ADP	O
investment	investment	NOUN	O
is	be	AUX	O
known	know	VERB	O
to	to	PART	O
be	be	VERB	O
:	:	PUNCT	O
stocks	stock	NOUN	B-VAR
,	,	PUNCT	O
11	11	NUM	B-PARAM
%	%	NOUN	I-PARAM
;	;	PUNCT	O
options	option	NOUN	B-VAR
,	,	PUNCT	O
30	30	NUM	B-PARAM
%	%	NOUN	I-PARAM
;	;	PUNCT	O
security	security	NOUN	B-VAR
swaps	swap	NOUN	I-VAR
,	,	PUNCT	O
5	5	NUM	B-PARAM
%	%	NOUN	I-PARAM
;	;	PUNCT	O
futures	future	NOUN	B-VAR
,	,	PUNCT	O
15	15	NUM	B-PARAM
%	%	NOUN	I-PARAM
.	.	PUNCT	O
To	to	PART	O
ensure	ensure	VERB	O
that	that	SCONJ	O
the	the	DET	O
hedge	hedge	NOUN	O
fund	fund	NOUN	O
’s	’s	PART	O
portfolio	portfolio	NOUN	O
is	be	AUX	O
not	not	PART	O
too	too	ADV	O
risky	risky	ADJ	O
,	,	PUNCT	O
the	the	DET	O
hedge	hedge	NOUN	O
fund	fund	NOUN	O
’s	’s	PART	O
investment	investment	NOUN	O
manager	manager	NOUN	O
has	have	AUX	O
placed	place	VERB	O
the	the	DET	O
following	follow	VERB	O
three	three	NUM	O
restrictions	restriction	NOUN	O
on	on	ADP	O
the	the	DET	O
hedge	hedge	NOUN	O
fund	fund	NOUN	O
’s	’s	PART	O
portfolio	portfolio	NOUN	O
:	:	PUNCT	O
a	a	DET	O
The	the	DET	O
amount	amount	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
futures	future	NOUN	B-VAR
can	can	AUX	B-CONST_DIR
not	not	PART	I-CONST_DIR
exceed	exceed	VERB	I-CONST_DIR
the	the	DET	O
amount	amount	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
stocks	stock	NOUN	B-VAR
.	.	PUNCT	O
b	b	X	O
At	at	ADP	B-CONST_DIR
most	most	ADV	I-CONST_DIR
35	35	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
the	the	DET	O
total	total	ADJ	O
amount	amount	NOUN	O
invested	invest	VERB	O
may	may	AUX	O
be	be	VERB	O
in	in	ADP	O
futures	future	NOUN	B-VAR
.	.	PUNCT	O
c	c	X	O
The	the	DET	O
amount	amount	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
options	option	NOUN	B-VAR
can	can	AUX	B-CONST_DIR
not	not	PART	I-CONST_DIR
exceed	exceed	VERB	I-CONST_DIR
the	the	DET	O
amount	amount	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
security	security	NOUN	B-VAR
swaps	swap	NOUN	I-VAR
.	.	PUNCT	O
The	the	DET	O
hedge	hedge	NOUN	O
fund	fund	NOUN	O
’s	’s	PART	O
objective	objective	NOUN	O
is	be	AUX	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
annual	annual	ADJ	O
return	return	NOUN	B-OBJ_NAME
on	on	ADP	O
its	its	PRON	O
investment	investment	NOUN	O
portfolio	portfolio	NOUN	O
.	.	PUNCT	O
Formulate	formulate	VERB	O
an	an	DET	O
LP	lp	NOUN	O
that	that	DET	O
will	will	AUX	O
enable	enable	VERB	O
the	the	DET	O
hedge	hedge	NOUN	O
fund	fund	NOUN	O
to	to	PART	O
meet	meet	VERB	O
this	this	DET	O
goal	goal	NOUN	O
.	.	PUNCT	O

A	a	DET	O
jacket	jacket	NOUN	O
company	company	NOUN	O
makes	make	VERB	O
winter	winter	NOUN	B-VAR
jackets	jacket	NOUN	I-VAR
and	and	CCONJ	O
rain	rain	NOUN	B-VAR
jackets	jacket	NOUN	I-VAR
.	.	PUNCT	O
Due	due	ADP	O
to	to	ADP	O
factory	factory	NOUN	O
limitations	limitation	NOUN	O
,	,	PUNCT	O
at	at	ADP	B-CONST_DIR
most	most	ADV	I-CONST_DIR
60	60	NUM	B-LIMIT
winter	winter	NOUN	B-VAR
jackets	jacket	NOUN	I-VAR
and	and	CCONJ	O
70	70	NUM	B-LIMIT
rain	rain	NOUN	B-VAR
jackets	jacket	NOUN	I-VAR
can	can	AUX	O
be	be	AUX	O
made	make	VERB	O
daily	daily	ADJ	O
.	.	PUNCT	O
Projections	projection	NOUN	O
indicate	indicate	VERB	O
a	a	DET	O
demand	demand	NOUN	O
of	of	ADP	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
30	30	NUM	B-LIMIT
winter	winter	NOUN	B-VAR
jackets	jacket	NOUN	I-VAR
and	and	CCONJ	O
35	35	NUM	B-LIMIT
rain	rain	NOUN	B-VAR
jackets	jacket	NOUN	I-VAR
daily	daily	ADV	O
.	.	PUNCT	O
To	to	PART	O
satisfy	satisfy	VERB	O
a	a	DET	O
contract	contract	NOUN	O
with	with	ADP	O
a	a	DET	O
retail	retail	ADJ	O
store	store	NOUN	O
,	,	PUNCT	O
a	a	DET	O
total	total	NOUN	O
of	of	ADP	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
80	80	NUM	B-LIMIT
jackets	jacket	NOUN	O
must	must	AUX	O
be	be	AUX	O
made	make	VERB	O
daily	daily	ADJ	O
.	.	PUNCT	O
Because	because	SCONJ	O
the	the	DET	O
factory	factory	NOUN	O
wants	want	VERB	O
to	to	PART	O
get	get	AUX	O
rid	rid	VERB	O
of	of	ADP	O
material	material	NOUN	O
,	,	PUNCT	O
each	each	DET	O
winter	winter	NOUN	B-VAR
jacket	jacket	NOUN	I-VAR
sold	sell	VERB	O
results	result	NOUN	O
in	in	ADP	O
a	a	DET	O
$	$	SYM	O
5	5	NUM	B-PARAM
loss	loss	NOUN	B-OBJ_NAME
.	.	PUNCT	O
However	however	ADV	O
,	,	PUNCT	O
each	each	DET	O
rain	rain	NOUN	B-VAR
jacket	jacket	NOUN	I-VAR
sold	sell	VERB	O
results	result	NOUN	O
in	in	ADP	O
a	a	DET	O
$	$	SYM	O
50	50	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
of	of	ADP	O
jacket	jacket	NOUN	O
should	should	AUX	O
be	be	AUX	O
made	make	VERB	O
daily	daily	ADJ	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
butcher	butcher	NOUN	O
shop	shop	NOUN	O
has	have	VERB	B-CONST_DIR
1000	1000	NUM	B-LIMIT
grams	gram	NOUN	O
of	of	ADP	O
ground	ground	NOUN	O
meat	meat	NOUN	O
to	to	PART	O
make	make	VERB	O
both	both	DET	O
burgers	burger	NOUN	B-VAR
and	and	CCONJ	O
sausages	sausage	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
burger	burger	NOUN	B-VAR
requires	require	VERB	O
20	20	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
ground	ground	NOUN	O
meat	meat	NOUN	O
while	while	SCONJ	O
each	each	DET	O
sausage	sausage	NOUN	B-VAR
requires	require	VERB	O
10	10	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
ground	ground	NOUN	O
meat	meat	NOUN	O
.	.	PUNCT	O
Past	past	ADJ	O
sales	sale	NOUN	O
have	have	AUX	O
indicated	indicate	VERB	O
that	that	SCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
three	three	NUM	B-PARAM
times	time	NOUN	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
sausages	sausage	NOUN	B-VAR
are	be	AUX	O
needed	need	VERB	O
than	than	SCONJ	O
burgers	burger	NOUN	B-VAR
.	.	PUNCT	O
There	there	PRON	O
also	also	ADV	O
needs	need	VERB	O
to	to	PART	O
be	be	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
10	10	NUM	B-LIMIT
burgers	burger	NOUN	B-VAR
made	make	VERB	O
.	.	PUNCT	O
Each	each	DET	O
burger	burger	NOUN	B-VAR
is	be	AUX	O
sold	sell	VERB	O
for	for	ADP	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
5	5	NUM	B-PARAM
and	and	CCONJ	O
each	each	DET	O
sausage	sausage	NOUN	B-VAR
is	be	AUX	O
sold	sell	VERB	O
for	for	ADP	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
3	3	NUM	B-PARAM
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
item	item	NOUN	O
should	should	AUX	O
be	be	AUX	O
made	make	VERB	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
cruise	cruise	NOUN	O
ship	ship	NOUN	O
can	can	AUX	O
carry	carry	VERB	O
at	at	ADV	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
500	500	NUM	B-LIMIT
passengers	passenger	NOUN	O
.	.	PUNCT	O
They	they	PRON	O
offer	offer	VERB	O
luxury	luxury	NOUN	B-VAR
tickets	ticket	NOUN	I-VAR
as	as	ADV	O
well	well	ADV	O
as	as	ADP	O
regular	regular	ADJ	B-VAR
tickets	ticket	NOUN	I-VAR
.	.	PUNCT	O
The	the	DET	O
cruise	cruise	NOUN	O
ship	ship	NOUN	O
reserves	reserve	NOUN	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
100	100	NUM	B-LIMIT
luxury	luxury	NOUN	B-VAR
tickets	ticket	NOUN	I-VAR
.	.	PUNCT	O
However	however	ADV	O
,	,	PUNCT	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
2	2	NUM	B-PARAM
times	time	NOUN	O
as	as	ADP	O
many	many	ADJ	O
passengers	passenger	NOUN	O
prefer	prefer	VERB	O
to	to	PART	O
buy	buy	VERB	O
regular	regular	ADJ	B-VAR
tickets	ticket	NOUN	I-VAR
than	than	SCONJ	O
the	the	DET	O
luxury	luxury	NOUN	B-VAR
tickets	ticket	NOUN	I-VAR
.	.	PUNCT	O
A	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
500	500	NUM	B-PARAM
is	be	AUX	O
made	make	VERB	O
per	per	ADP	O
luxury	luxury	NOUN	B-VAR
ticket	ticket	NOUN	I-VAR
and	and	CCONJ	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
300	300	NUM	B-PARAM
is	be	AUX	O
made	make	VERB	O
per	per	ADP	O
regular	regular	ADJ	B-VAR
ticket	ticket	NOUN	I-VAR
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
of	of	ADP	O
ticket	ticket	NOUN	O
should	should	AUX	O
be	be	AUX	O
sold	sell	VERB	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O
What	what	PRON	O
is	be	AUX	O
that	that	DET	O
profit	profit	NOUN	O
?	?	PUNCT	O

There	there	PRON	O
is	be	AUX	O
only	only	ADV	B-CONST_DIR
2000	2000	NUM	B-LIMIT
grams	gram	NOUN	O
of	of	ADP	O
lettuce	lettuce	NOUN	O
that	that	DET	O
is	be	AUX	O
needed	need	VERB	O
to	to	PART	O
make	make	VERB	O
both	both	DET	O
the	the	DET	O
caesar	caesar	NOUN	B-VAR
and	and	CCONJ	O
house	house	NOUN	B-VAR
salad	salad	NOUN	I-VAR
.	.	PUNCT	O
The	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
caesar	caesar	NOUN	B-VAR
salad	salad	NOUN	I-VAR
is	be	AUX	O
$	$	SYM	O
5	5	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
house	house	NOUN	B-VAR
salad	salad	NOUN	I-VAR
is	be	VERB	O
$	$	SYM	O
8	8	NUM	B-PARAM
.	.	PUNCT	O
The	the	DET	O
caesar	caesar	ADJ	B-VAR
salad	salad	NOUN	I-VAR
contains	contain	VERB	O
20	20	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
lettuce	lettuce	NOUN	O
and	and	CCONJ	O
the	the	DET	O
house	house	NOUN	B-VAR
salad	salad	NOUN	I-VAR
contains	contain	VERB	O
30	30	NUM	B-PARAM
grams	gram	NOUN	O
of	of	ADP	O
lettuce	lettuce	NOUN	O
.	.	PUNCT	O
The	the	DET	O
house	house	NOUN	B-VAR
salad	salad	NOUN	I-VAR
is	be	AUX	O
much	much	ADV	O
more	more	ADV	O
popular	popular	ADJ	O
and	and	CCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
three	three	NUM	B-PARAM
times	time	NOUN	O
the	the	DET	O
amount	amount	NOUN	O
of	of	ADP	O
house	house	NOUN	B-VAR
salads	salad	NOUN	I-VAR
needs	need	VERB	O
to	to	PART	O
be	be	AUX	O
made	make	VERB	O
than	than	SCONJ	O
the	the	DET	O
caesar	caesar	ADJ	B-VAR
salads	salad	NOUN	I-VAR
.	.	PUNCT	O
However	however	ADV	O
,	,	PUNCT	O
a	a	DET	O
minimum	minimum	NOUN	B-CONST_DIR
of	of	ADP	O
8	8	NUM	B-LIMIT
caesar	caesar	NOUN	B-VAR
salads	salad	NOUN	I-VAR
needs	need	VERB	O
to	to	PART	O
be	be	AUX	O
made	make	VERB	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
salad	salad	NOUN	O
should	should	AUX	O
me	I	PRON	O
made	make	VERB	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

George	George	PROPN	O
has	have	VERB	B-CONST_DIR
$	$	SYM	O
1000000	1000000	NUM	B-LIMIT
to	to	PART	O
invest	invest	VERB	O
in	in	ADP	O
the	the	DET	O
oil	oil	NOUN	B-VAR
and	and	CCONJ	I-VAR
gas	gas	NOUN	I-VAR
,	,	PUNCT	O
tech	tech	NOUN	B-VAR
,	,	PUNCT	O
mining	mining	NOUN	B-VAR
,	,	PUNCT	O
and	and	CCONJ	O
retail	retail	ADJ	B-VAR
industries	industry	NOUN	I-VAR
.	.	PUNCT	O
George	George	PROPN	O
is	be	AUX	O
a	a	DET	O
smart	smart	ADJ	O
investor	investor	NOUN	O
and	and	CCONJ	O
he	he	PRON	O
knows	know	VERB	O
the	the	DET	O
amount	amount	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
retail	retail	ADJ	B-VAR
industry	industry	NOUN	I-VAR
can	can	AUX	B-CONST_DIR
not	not	PART	I-CONST_DIR
exceed	exceed	VERB	I-CONST_DIR
the	the	DET	O
amount	amount	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
oil	oil	NOUN	B-VAR
and	and	CCONJ	I-VAR
gas	gas	NOUN	I-VAR
industry	industry	NOUN	O
.	.	PUNCT	O
Also	also	ADV	O
the	the	DET	O
amount	amount	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
tech	tech	NOUN	B-VAR
industry	industry	NOUN	I-VAR
can	can	AUX	B-CONST_DIR
not	not	PART	I-CONST_DIR
exceed	exceed	VERB	I-CONST_DIR
the	the	DET	O
amount	amount	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
mining	mining	NOUN	B-VAR
industry	industry	NOUN	I-VAR
.	.	PUNCT	O
Finally	finally	ADV	O
at	at	ADP	B-CONST_DIR
most	most	ADV	I-CONST_DIR
28	28	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
the	the	DET	O
total	total	ADJ	O
amount	amount	NOUN	O
invested	invest	VERB	O
can	can	AUX	O
be	be	VERB	O
in	in	ADP	O
the	the	DET	O
retail	retail	ADJ	B-VAR
industry	industry	NOUN	I-VAR
.	.	PUNCT	O
The	the	DET	O
return	return	NOUN	B-OBJ_NAME
on	on	ADP	O
investment	investment	NOUN	O
in	in	ADP	O
each	each	DET	O
of	of	ADP	O
the	the	DET	O
